"Id";"Riferimento";"Impronta";"Quantità";"Valore";"Produttore";
1;"D2";"TO-92-2_AK";1;"BB112";;;
2;"C16";"CP_Radial_D8.0mm_P3.50mm";1;"220u";;;
3;"R5,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"10";;;
4;"R3,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"22";;;
5;"C4,C3,C11,C17,C21,C19,C8,C10";"C_Disc_D4.3mm_W1.9mm_P5.00mm";8;"100n";;;
6;"J6";"PinHeader_1x02_P2.54mm_Vertical";1;"AUX 12V";;;
7;"U3";"DIP-8_W7.62mm_Socket_LongPads";1;"LM386";;;
8;"C6";"C_Disc_D4.3mm_W1.9mm_P5.00mm";1;"3.3n";;;
9;"C12";"CP_Radial_D8.0mm_P3.50mm";1;"2.2u";;;
10;"C14,C13";"CP_Radial_D8.0mm_P3.50mm";2;"10u";;;
11;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"AP";;;
12;"C9";"C_Disc_D4.3mm_W1.9mm_P5.00mm";1;"1n";;;
13;"RV3";"Potentiometer_Telpod_TVP1232";1;"2.2k";;;
14;"U1";"DIP-16_W7.62mm_Socket_LongPads";1;"TDA1072A";;;
15;"L1";"L_Axial_L6.6mm_D2.7mm_P10.16mm_Horizontal_Vishay_IM-2";1;"10u";;;
16;"C1";"C_Disc_D4.3mm_W1.9mm_P5.00mm";1;"220";;;
17;"U2";"CFW455IT";1;"CFWM455E";;;
18;"TF2";"TOKO";1;"NERA";;;
19;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"SMETER";;;
20;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"2.2k";;;
21;"C7";"C_Disc_D4.3mm_W1.9mm_P5.00mm";1;"220n";;;
22;"RV2";"Potentiometer_Telpod_TVP1232";1;"10k";;;
23;"C2";"C_Disc_D4.3mm_W1.9mm_P5.00mm";1;"68";;;
24;"TF1";"TOKO";1;"10.7";;;
25;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10k";;;
26;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"IN VFO";;;
27;"D1";"D_DO-41_SOD81_P7.62mm_Horizontal";1;"1N4001";;;
28;"C20";"C_Disc_D4.3mm_W1.9mm_P5.00mm";1;"120";;;
29;"RV1";"Potentiometer_Runtron_RM-065_Vertical";1;"10k";;;
30;"C18";"CP_Radial_D8.0mm_P3.50mm";1;"3.3u";;;
31;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"ANTENNA";;;
32;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"ALIM 12V";;;
33;"C15";"CP_Radial_D8.0mm_P3.50mm";1;"100u";;;
34;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"100k";;;
35;"C5";"C_Disc_D4.3mm_W1.9mm_P5.00mm";1;"10n";;;
